zindex,name,latitude,url,longitude,id
130600,Avalon Park,41.747711,http://www.zillow.com/local-info/IL-Chicago/Avalon-Park/r_269572/,-87.59221,269572
,Lake Meadows,41.834876,http://www.zillow.com/local-info/IL-Chicago/Lake-Meadows/r_403144/,-87.611018,403144
509600,Ravenswood Manor,41.964857,http://www.zillow.com/local-info/IL-Chicago/Ravenswood-Manor/r_403290/,-87.699188,403290
560600,West De Paul,41.928816,http://www.zillow.com/local-info/IL-Chicago/West-De-Paul/r_403309/,-87.66584,403309
466900,Graceland West,41.957977,http://www.zillow.com/local-info/IL-Chicago/Graceland-West/r_403267/,-87.66574,403267
209800,Chinatown,41.850016,http://www.zillow.com/local-info/IL-Chicago/Chinatown/r_137799/,-87.637169,137799
301400,Andersonville,41.979713,http://www.zillow.com/local-info/IL-Chicago/Andersonville/r_269567/,-87.671422,269567
127900,Stony Island Park,41.743403,http://www.zillow.com/local-info/IL-Chicago/Stony-Island-Park/r_403128/,-87.577194,403128
213200,West Morgan Park,41.695364,http://www.zillow.com/local-info/IL-Chicago/West-Morgan-Park/r_403373/,-87.688563,403373
226800,Belmont Terrace,41.941216,http://www.zillow.com/local-info/IL-Chicago/Belmont-Terrace/r_403282/,-87.83136,403282
237300,Magnolia Glen,41.987164,http://www.zillow.com/local-info/IL-Chicago/Magnolia-Glen/r_403259/,-87.662597,403259
,Altgeld Gardens,41.653897,http://www.zillow.com/local-info/IL-Chicago/Altgeld-Gardens/r_137228/,-87.599257,137228
,Marynook,41.740426,http://www.zillow.com/local-info/IL-Chicago/Marynook/r_403358/,-87.593002,403358
,The Bush,41.744792,http://www.zillow.com/local-info/IL-Chicago/The-Bush/r_403359/,-87.540484,403359
321100,Dearborn Park,41.866472,http://www.zillow.com/local-info/IL-Chicago/Dearborn-Park/r_403344/,-87.628962,403344
,Fifth City,41.87739,http://www.zillow.com/local-info/IL-Chicago/Fifth-City/r_403319/,-87.71082,403319
,Lakewood - Balmoral,41.979864,http://www.zillow.com/local-info/IL-Chicago/Lakewood----Balmoral/r_403260/,-87.662367,403260
272200,The Gap,41.834712,http://www.zillow.com/local-info/IL-Chicago/The-Gap/r_403346/,-87.62037,403346
,Little Calumet River,41.652403,http://www.zillow.com/local-info/IL-Chicago/Little-Calumet-River/r_403390/,-87.576424,403390
,South East Ravenswood,41.957876,http://www.zillow.com/local-info/IL-Chicago/South-East-Ravenswood/r_403293/,-87.671466,403293
199800,Kennedy Park,41.688117,http://www.zillow.com/local-info/IL-Chicago/Kennedy-Park/r_403371/,-87.688329,403371
,The Robert Taylor Homes,41.809081,http://www.zillow.com/local-info/IL-Chicago/The-Robert-Taylor-Homes/r_403350/,-87.628807,403350
,Jackson Park Highlands,41.769751,http://www.zillow.com/local-info/IL-Chicago/Jackson-Park-Highlands/r_403354/,-87.578834,403354
,O'Hare International Airport,41.979537,http://www.zillow.com/local-info/IL-Chicago/O'Hare-International-Airport/r_403159/,-87.901074,403159
,Princeton Park,41.725813,http://www.zillow.com/local-info/IL-Chicago/Princeton-Park/r_403362/,-87.629087,403362
255100,Printers Row,41.873965,http://www.zillow.com/local-info/IL-Chicago/Printers-Row/r_403343/,-87.629153,403343
323100,River West,41.894402,http://www.zillow.com/local-info/IL-Chicago/River-West/r_403297/,-87.650417,403297
,Prairie Shores,41.84334,http://www.zillow.com/local-info/IL-Chicago/Prairie-Shores/r_140000/,-87.611893,140000
,Illinois Medical District,41.866719,http://www.zillow.com/local-info/IL-Chicago/Illinois-Medical-District/r_403328/,-87.676121,403328
,Gladstone Park,41.980973,http://www.zillow.com/local-info/IL-Chicago/Gladstone-Park/r_403285/,-87.773154,403285
,Cottage Grove Heights,41.718482,http://www.zillow.com/local-info/IL-Chicago/Cottage-Grove-Heights/r_403383/,-87.597566,403383
,East Pilsen,41.856319,http://www.zillow.com/local-info/IL-Chicago/East-Pilsen/r_403331/,-87.642615,403331
,Fuller Park,41.808989,http://www.zillow.com/local-info/IL-Chicago/Fuller-Park/r_269581/,-87.633303,269581
,River's Edge,41.977716,http://www.zillow.com/local-info/IL-Chicago/River's-Edge/r_403273/,-87.736863,403273
